Location,Modern Indian,North Indian,Chinese,Momos,Biryani,Continental,American,Fast Food,Mexican,Desserts,European,Asian,Italian,Finger Food,Pizza,Beverages,Thai,Cafe,Healthy Food,Seafood,Bakery,Burger,Singaporean,Indonesian,Japanese,Mughlai,Kebab,Rolls,Salad,Juices,Ice Cream,Sandwich,German,South Indian,Bohri,Bar Food,Coffee,Indian,Street Food,Mithai,Mangalorean,Brazilian,Peruvian,South American,Tea,Lebanese,Malwani,Tibetan,Mediterranean,Turkish,Sushi,Maharashtrian,French,Wraps,BBQ,Burmese,Konkan,Awadhi,Korean,Roast Chicken,Panini,Cafe Food,Hyderabadi,Lucknowi,Goan,Malaysian,Kerala,Spanish,Arabian,Parsi,Iranian,Asian Fusion,Sindhi,Chettinad,Andhra,Gujarati,Middle Eastern,Cantonese,Rajasthani,Bubble Tea,Pakistani,Bengali,Kashmiri,Steak,Vietnamese,British,Tex-Mex,Greek,Afghan,Assamese,Bihari,Pub Food,Deli,Fusion,Grill,Nepalese,Vegan,Oriental,Charcoal Chicken,North Eastern,Mishti,Sri Lankan,Vegetarian,Paan,Coffee and Tea,Frozen Yogurt,Fried Chicken,Mongolian,Tamil,Israeli,Cuisine Varies,Armenian,Belgian,Oriya,Raw Meats
Bandra,6.0,111,108,2.0,18.0,23.0,12.0,70,10.0,66.0,14.0,20.0,30.0,2.0,15.0,31.0,13.0,24.0,27.0,24.0,46.0,10.0,1.0,1.0,9.0,35.0,7.0,8.0,12.0,10.0,11.0,5.0,2.0,21.0,2.0,1.0,1.0,5.0,15.0,4.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,3.0,3.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juhu,1.0,43,43,0.0,5.0,13.0,6.0,23,6.0,22.0,2.0,6.0,11.0,1.0,3.0,6.0,5.0,10.0,5.0,12.0,7.0,3.0,0.0,0.0,3.0,14.0,5.0,6.0,4.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKC,1.0,9,5,0.0,3.0,8.0,4.0,8,3.0,3.0,4.0,2.0,4.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parel,4.0,103,85,4.0,4.0,11.0,8.0,74,9.0,44.0,5.0,14.0,29.0,0.0,12.0,25.0,10.0,7.0,7.0,29.0,24.0,7.0,0.0,0.0,3.0,13.0,0.0,4.0,7.0,2.0,4.0,6.0,0.0,29.0,0.0,0.0,1.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khar,1.0,54,55,5.0,12.0,14.0,5.0,35,2.0,26.0,7.0,9.0,11.0,2.0,10.0,12.0,10.0,5.0,9.0,15.0,9.0,9.0,0.0,0.0,3.0,11.0,7.0,13.0,1.0,3.0,2.0,6.0,0.0,12.0,0.0,0.0,0.0,4.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powai,1.0,117,96,6.0,24.0,12.0,6.0,53,5.0,20.0,2.0,11.0,15.0,3.0,8.0,16.0,11.0,5.0,9.0,17.0,13.0,6.0,1.0,0.0,2.0,26.0,7.0,11.0,7.0,3.0,2.0,4.0,0.0,18.0,1.0,1.0,0.0,2.0,19.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chembur,1.0,152,156,3.0,14.0,15.0,2.0,55,5.0,18.0,3.0,5.0,19.0,1.0,5.0,19.0,8.0,11.0,4.0,36.0,21.0,4.0,0.0,0.0,0.0,36.0,7.0,5.0,4.0,2.0,4.0,5.0,0.0,30.0,0.0,1.0,1.0,2.0,16.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,10.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borivali,1.0,132,133,3.0,19.0,31.0,3.0,115,11.0,34.0,2.0,6.0,30.0,0.0,27.0,26.0,8.0,14.0,2.0,22.0,23.0,8.0,0.0,0.0,1.0,10.0,4.0,2.0,2.0,3.0,9.0,15.0,0.0,46.0,0.0,1.0,0.0,3.0,24.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,13.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,3.0,378,355,19.0,39.0,41.0,15.0,167,21.0,55.0,2.0,6.0,42.0,4.0,22.0,54.0,18.0,22.0,10.0,76.0,34.0,14.0,0.0,0.0,0.0,51.0,16.0,8.0,5.0,11.0,18.0,11.0,0.0,91.0,0.0,1.0,2.0,12.0,46.0,5.0,8.0,0.0,0.0,0.0,2.0,7.0,46.0,1.0,3.0,1.0,0.0,47.0,0.0,1.0,5.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kandivali,1.0,155,149,2.0,15.0,22.0,3.0,124,9.0,47.0,0.0,3.0,25.0,1.0,24.0,32.0,4.0,10.0,5.0,21.0,26.0,16.0,0.0,0.0,0.0,24.0,3.0,2.0,5.0,3.0,17.0,15.0,0.0,52.0,0.0,0.0,2.0,4.0,34.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
